"id"	"gc_content"
"1"	"Bignat"	0.448519308235834
"2"	"Leibra"	0.577954939765519
"3"	"Trycru"	0.517343583496398
"4"	"Ectsil"	0.535931496760742
"5"	"Aurlim"	0.451668281481777
"6"	"Hypcat"	0.494016755138638
"7"	"Aurano"	0.695021398883648
"8"	"Blahom"	0.452480606155507
"9"	"Nangad"	0.542615473476685
"10"	"Fracyl"	0.385136012850829
"11"	"Psemul"	0.445130874156529
"12"	"Phatri"	0.488634918055266
"13"	"Thapse"	0.468953143642429
"14"	"Albcan"	0.432177607099599
"15"	"Pytult"	0.523063314683508
"16"	"Sappar"	0.584247133415594
"17"	"Phyinf"	0.509654243752247
"18"	"Hyaara"	0.472240662000624
"19"	"Psecub"	0.540169551504861
"20"	"Gialam"	0.492515579178394
"21"	"Permar"	0.474117916505304
"22"	"Stylem"	0.325072978165923
"23"	"Oxytri"	0.313520493312838
"24"	"Partet"	0.280601222282585
"25"	"Ichmul"	0.159152684034037
"26"	"Tetthe"	0.223161794999511
"27"	"Hamham"	0.532945161826482
"28"	"Toxgon"	0.52278132529402
"29"	"Crypa1"	0.30224137040853
"30"	"Babbov"	0.4160208561402
"31"	"Thepar"	0.340444597142988
"32"	"Plaviv"	0.422787227404934
"33"	"Cyamer"	0.550181138344732
"34"	"Acacas"	0.584117673777393
"35"	"Polpal"	0.320748882551322
"36"	"Dicdis"	0.22432451234149
"37"	"Enthis"	0.242945030071106
"38"	"Guithe"	0.531049654567554
"39"	"Emihux"	0.656705543053692
"40"	"Phypat"	0.335963937973225
"41"	"Lacsat"	0.368097887253896
"42"	"Sollyc"	0.340522349038128
"43"	"Mimgut"	0.354866261593801
"44"	"Citlan"	0.328703519713586
"45"	"Cucsat"	0.338500430032325
"46"	"Linusi"	0.394886453463663
"47"	"Poptri"	0.337230872706996
"48"	"Manesc"	0.352939854562779
"49"	"Jatcur"	0.342923685035168
"50"	"Riccom"	0.338402756792055
"51"	"Betnan"	0.377004582622201
"52"	"Medtru"	0.337413021940489
"53"	"Lotjap"	0.384791828293429
"54"	"Cajcaj"	0.336817707387081
"55"	"Glymax"	0.34753829835246
"56"	"Pruper"	0.37450927143959
"57"	"Maldom"	0.379925583216671
"58"	"Fraves"	0.383973990691552
"59"	"Cansat"	0.347949136078538
"60"	"Vitvin"	0.345463534065053
"61"	"Citsin"	0.340637313171966
"62"	"Euccam"	0.392034434345101
"63"	"Carpap"	0.352931425544443
"64"	"Brarap"	0.352589518456733
"65"	"Eutpar"	0.357465069668498
"66"	"Aratha"	0.360527287940479
"67"	"Thecac"	0.342229985327881
"68"	"Gosrai"	0.33214763425755
"69"	"Phodac"	0.385738093676798
"70"	"Setita"	0.461444945932703
"71"	"Zeamay"	0.458250227556951
"72"	"Sorbic"	0.439261579193846
"73"	"Leeper"	0.431717570574012
"74"	"Orysat"	0.438253226440848
"75"	"Bradis"	0.464001025705117
"76"	"Horvul"	0.443989438821824
"77"	"Triaes"	0.435869992431804
"78"	"Musacu"	0.38867081128
"79"	"Selmoe"	0.452216446973449
"80"	"Chlrei"	0.639298946178378
"81"	"Volcar"	0.559732629585584
"82"	"Ostluc"	0.604372789833583
"83"	"Micpus"	0.659436038556266
"84"	"Chlvar"	0.671390811474744
"85"	"Cocsub"	0.529362085925951
"86"	"Ast_sp"	0.577638169567569
"87"	"Naegru"	0.331495656590367
"88"	"Trivag"	0.328350768974555
"89"	"Monbre"	0.548901494944293
"90"	"Sal_sp"	0.560084883098712
"91"	"Ampque"	0.35824641395089
"92"	"Nemvec"	0.406351634486927
"93"	"Acrdig"	0.390362217897916
"94"	"Hydmag"	0.276262423140191
"95"	"Alamos"	0.432564361499004
"96"	"Mnelei"	0.388639780990926
"97"	"Schmed"	0.299061926392149
"98"	"Schman"	0.352081249717992
"99"	"Closin"	0.44051828408427
"100"	"Patmin"	0.402288794363765
"101"	"Lytvar"	0.359992674125909
"102"	"Strpur"	0.370124001769756
"103"	"Oikdio"	0.397695373807138
"104"	"Cioint"	0.35674690836485
"105"	"Petmar"	0.458544892906322
"106"	"Calmil"	0.428197276544078
"107"	"Leueri"	0.425959889671834
"108"	"Salsal"	0.426136720882379
"109"	"Gadmor"	0.45556856592462
"110"	"Orenil"	0.404185688665845
"111"	"Neobri"	0.404425902023577
"112"	"Mayzeb"	0.395888629489375
"113"	"Hapbur"	0.405109012366068
"114"	"Labfue"	0.422290126825916
"115"	"Mchcon"	0.41852974939697
"116"	"Melaur"	0.41583102689925
"117"	"Rhaeso"	0.424072037471262
"118"	"Punnye"	0.406034290810522
"119"	"Diclab"	0.402464055506863
"120"	"Tetnig"	0.464297616935401
"121"	"Takrub"	0.454612333117275
"122"	"Gasacu"	0.44595409522065
"123"	"Xipmac"	0.387564950610973
"124"	"Orylat"	0.404603617382809
"125"	"Danrer"	0.36849730297884
"126"	"Lepocu"	0.395888629489375
"127"	"Xentro"	0.400581172760413
"128"	"Tupbel"	0.413459051853404
"129"	"Macfas"	0.406508888848242
"130"	"Papanu"	0.409645418935561
"131"	"Nomleu"	0.40757660868566
"132"	"Gorgor"	0.405319792562303
"133"	"Homsap"	0.409008715770162
"134"	"Pantro"	0.407610899419693
"135"	"Ponabe"	0.406983054923108
"136"	"Caljac"	0.408420090958102
"137"	"Saibol"	0.40769126824855
"138"	"Tarsyr"	0.39864769953997
"139"	"Daumad"	0.395874080370008
"140"	"Otogar"	0.411137946487879
"141"	"Orycun"	0.43748967069891
"142"	"Ochpri"	0.433462487482306
"143"	"Musmus"	0.417128076961103
"144"	"Ratnor"	0.419337069987893
"145"	"Crigri"	0.413672403140539
"146"	"Micoch"	0.422513624712305
"147"	"Spetri"	0.399091915865313
"148"	"Dipord"	0.423827551924206
"149"	"Jacjac"	0.418719836068725
"150"	"Hetgla"	0.402136060615293
"151"	"Cavpor"	0.399479737750343
"152"	"Octdeg"	0.41382743898991
"153"	"Chilan"	0.410644403941154
"154"	"Chohof"	0.389438866025669
"155"	"Dasnov"	0.407694162528096
"156"	"Equcab"	0.415011161682955
"157"	"Cersim"	0.408951573821396
"158"	"Sorara"	0.428967896046825
"159"	"Concri"	0.415478467721696
"160"	"Erieur"	0.415386937113223
"161"	"Susscr"	0.422562116574782
"162"	"Vicpac"	0.396800235066174
"163"	"Camfer"	0.412757366808587
"164"	"Turtru"	0.415543091345888
"165"	"Oviari"	0.41829438578898
"166"	"Bostau"	0.41768920189645
"167"	"Ptevam"	0.399450242882132
"168"	"Myodav"	0.426825340923027
"169"	"Eptfus"	0.429308803235617
"170"	"Felcat"	0.416987982944894
"171"	"Ailmel"	0.41600561281889
"172"	"Musput"	0.414773874658729
"173"	"Canlup"	0.413077403354732
"174"	"Chrasi"	0.400126853561139
"175"	"Procap"	0.410749169720847
"176"	"Echtel"	0.430053474170567
"177"	"Eleedw"	0.402967139815169
"178"	"Oryafe"	0.400661298232608
"179"	"Loxafr"	0.407618843318485
"180"	"Triman"	0.40733007355095
"181"	"Mondom"	0.378225552183894
"182"	"Maceug"	0.388312295372502
"183"	"Sarhar"	0.360442375082439
"184"	"Ornana"	0.454836828526756
"185"	"Pelsin"	0.444096320823244
"186"	"Chrpic"	0.441638331330252
"187"	"Anocar"	0.403192229301857
"188"	"Pytmol"	0.392032510687258
"189"	"Melund"	0.412466265425469
"190"	"Ficalb"	0.442177464674095
"191"	"Taegut"	0.414203757286002
"192"	"Geofor"	0.416023065170561
"193"	"Galgal"	0.418721650356721
"194"	"Melgal"	0.405176648228244
"195"	"Allmis"	0.443632202202772
"196"	"Latcha"	0.411509406119159
"197"	"Braflo"	0.411937723355563
"198"	"Sackow"	0.358561916698494
"199"	"Aplcal"	0.40142548362227
"200"	"Lotgig"	0.332791212839732
"201"	"Pinfuc"	0.352020678841072
"202"	"Cragig"	0.334248302924675
"203"	"Captel"	0.403906523040069
"204"	"Helrob"	0.328204162539162
"205"	"Menmol"	0.286944961098116
"206"	"Tricas"	0.338497025291565
"207"	"Linhum"	0.37655260684267
"208"	"Camflo"	0.342682202307254
"209"	"Solinv"	0.362199013879577
"210"	"Acrech"	0.336497624116497
"211"	"Attcep"	0.325755745740881
"212"	"Pogbar"	0.364967745920718
"213"	"Harsal"	0.451881443006001
"214"	"Megrot"	0.441104608853879
"215"	"Bomter"	0.375053699702132
"216"	"Apimel"	0.326962383794726
"217"	"Nasvit"	0.417014205460557
"218"	"Dromel"	0.421701810916574
"219"	"Lutlon"	0.350118628152101
"220"	"Phlpap"	0.33601928317767
"221"	"Anogam"	0.441104608853879
"222"	"Culqui"	0.441104608853879
"223"	"Aedaeg"	0.38268331503565
"224"	"Maydes"	0.33164231954691
"225"	"Helmel"	0.328353198583897
"226"	"Danple"	0.316489839542748
"227"	"Bommor"	0.376746801606784
"228"	"Mansex"	0.352655337426552
"229"	"Acypis"	0.29765052444887
"230"	"Rhopro"	0.339479471157869
"231"	"Pedhum"	0.274681030073691
"232"	"Dappul"	0.407649223665557
"233"	"Lepsal"	0.309646034631653
"234"	"Strmar"	0.356498865687742
"235"	"Teturt"	0.322510835338381
"236"	"Vardes"	0.410793315101679
"237"	"Metocc"	0.515847171502314
"238"	"Ixosca"	0.454375046952607
"239"	"Caeele"	0.354396259609591
"240"	"Hetbac"	0.333126533089875
"241"	"Strrat"	0.249416990659975
"242"	"Pripac"	0.426855167695529
"243"	"Ascsuu"	0.379598484545732
"244"	"Brumal"	0.302134132540662
"245"	"Wucban"	0.296968303761419
"246"	"Loaloa"	0.309753208252727
"247"	"Oncvol"	0.325071270482653
"248"	"Melinc"	0.314415942812418
"249"	"Hetgly"	0.374980994266105
"250"	"Burxyl"	0.403725460242002
"251"	"Trispi"	0.339135242470381
"252"	"Triadh"	0.32744136501646
"253"	"Capowc"	0.53757461315256
"254"	"Gonpro"	0.524061034080075
"255"	"Batden"	0.392533692361573
"256"	"Hompol"	0.497518523769257
"257"	"Spipun"	0.47603932869093
"258"	"Pir_sp"	0.218179341308318
"259"	"Allmac"	0.615890815746318
